rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
455,T1553.006,Code Signing Policy Modification,3.47,Medium Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.209,Moderate,1.05,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
456,T1526,Cloud Service Discovery,3.47,Medium Low,1.14,Moderate,1.28,High,1.32,Severe,1.28,High,1.05,Low,1.154,Moderate,1.087,Low,1.067,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
457,T1087.004,Cloud Account,3.47,Medium Low,1.157,Moderate,1.28,High,1.32,Severe,1.28,High,1.05,Low,1.209,Moderate,1.0,Not Material,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
458,T1059.009,Cloud API,3.47,Medium Low,1.175,Moderate,1.28,High,1.32,Severe,1.28,High,1.075,Low,1.22,High,1.087,Low,1.15,Moderate,1.099,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
459,T1036.007,Double File Extension,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.154,Moderate,1.0,Not Material,1.121,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
460,T1036.002,Right-to-Left Override,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
461,T1651,Cloud Administration Command,3.47,Medium Low,1.087,Low,1.123,Moderate,1.272,High,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.12,Moderate,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
462,T1580,Cloud Infrastructure Discovery,3.47,Medium Low,1.14,Moderate,1.123,Moderate,1.32,Severe,1.0,Not Material,1.075,Low,1.154,Moderate,1.225,High,1.022,Low,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
463,T1574.007,Path Interception by PATH Environment Variable,3.47,Medium Low,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.05,Low,1.22,High,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
464,T1546.010,AppInit DLLs,3.47,Medium Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
465,T1202,Indirect Command Execution,3.47,Medium Low,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
466,T1059.012,Hypervisor CLI,3.47,Medium Low,1.0,Not Material,1.28,High,1.0,Not Material,1.084,Low,1.125,Moderate,1.22,High,1.087,Low,1.09,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.0,Not Material
467,T1055.003,Thread Execution Hijacking,3.47,Medium Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.075,Low,1.165,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
468,T1613,Container and Resource Discovery,3.47,Medium Low,1.087,Low,1.0,Not Material,1.272,High,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
469,T1220,XSL Script Processing,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.209,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
470,T1218.008,Odbcconf,3.47,Medium Low,1.07,Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.121,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
471,T1187,Forced Authentication,3.47,Medium Low,1.157,Moderate,1.228,High,1.0,Not Material,1.154,Moderate,1.238,High,1.209,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
472,T1069.003,Cloud Groups,3.47,Medium Low,1.087,Low,1.28,High,1.32,Severe,1.224,High,1.0,Not Material,1.176,Moderate,1.0,Not Material,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
473,T1059.008,Network Device CLI,3.47,Medium Low,1.157,Moderate,1.28,High,1.0,Not Material,1.084,Low,1.188,Moderate,1.22,High,1.087,Low,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
474,T1006,Direct Volume Access,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
475,T1689,Downgrade Attack,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.176,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
476,T1653,Power Settings,3.47,Medium Low,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
477,T1574.009,Path Interception by Unquoted Path,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
478,T1574.008,Path Interception by Search Order Hijacking,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
479,T1548.001,Setuid and Setgid,3.47,Medium Low,1.0,Not Material,1.105,Low,1.112,Moderate,1.0,Not Material,1.0,Not Material,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
480,T1546.016,Installer Packages,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
481,T1546.012,Image File Execution Options Injection,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.05,Low,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
482,T1218,System Binary Proxy Execution,3.47,Medium Low,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.05,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
483,T1055.005,Thread Local Storage,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.165,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
484,T1036.006,Space after Filename,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
485,T1027.008,Stripped Payloads,3.47,Medium Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.121,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
486,T1685.003,Modify or Spoof Tool UI,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
487,T1648,Serverless Execution,3.47,Medium Low,1.245,High,1.28,High,1.32,Severe,1.28,High,1.0,Not Material,1.165,Moderate,1.087,Low,1.127,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
488,T1601.001,Patch System Image,3.47,Medium Low,1.087,Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.238,High,1.209,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
489,T1601,Modify System Image,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
490,T1574.014,AppDomainManager,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
491,T1574.005,Executable Installer File Permissions Weakness,3.47,Medium Low,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.198,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
492,T1546.017,Udev Rules,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
493,T1546.007,Netsh Helper DLL,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
494,T1505.001,SQL Stored Procedures,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
495,T1176.002,IDE Extensions,3.47,Medium Low,1.07,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.238,High,1.198,Moderate,1.175,Moderate,1.135,Moderate,1.077,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
496,T1070.010,Relocate Malware,3.47,Medium Low,1.175,Moderate,1.0,Not Material,1.0,Not Material,1.098,Low,1.188,Moderate,1.209,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
497,T1055.015,ListPlanting,3.47,Medium Low,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
498,T1037.005,Startup Items,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.187,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
499,T1036.012,Browser Fingerprint,3.47,Medium Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.056,Low,1.188,Moderate,1.176,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
500,T1027.014,Polymorphic Code,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
501,T1601.002,Downgrade System Image,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
502,T1600.002,Disable Crypto Hardware,3.47,Medium Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
503,T1600.001,Reduce Key Space,3.47,Medium Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
504,T1600,Weaken Encryption,3.47,Medium Low,1.157,Moderate,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.121,Moderate,1.175,Moderate,1.06,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
505,T1574.011,Services Registry Permissions Weakness,3.47,Medium Low,1.0,Not Material,1.193,Moderate,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
506,T1564.014,Extended Attributes,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
507,T1546.018,Python Startup Hooks,3.47,Medium Low,1.07,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.238,High,1.198,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
508,T1546.006,LC_LOAD_DYLIB Addition,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.187,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
509,T1546.005,Trap,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
510,T1542.005,TFTP Boot,3.47,Medium Low,1.157,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.238,High,1.22,High,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
511,T1542.004,ROMMONkit,3.47,Medium Low,1.157,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.198,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
512,T1216.002,SyncAppvPublishingServer,3.47,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.176,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.0,Not Material
513,T1127.003,JamPlus,3.47,Medium Low,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.165,Moderate,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
514,T1127.002,ClickOnce,3.47,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
515,T1055.014,VDSO Hijacking,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.165,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
516,T1055.009,Proc Memory,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.075,Low,1.165,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
517,T1053.006,Systemd Timers,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
518,T1037.002,Login Hook,3.47,Medium Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.187,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
519,T1566.001,Spearphishing Attachment,3.33,Medium Low,1.35,Severe,1.228,High,1.0,Not Material,1.238,High,1.188,Moderate,1.154,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
520,T1059.005,Visual Basic,3.33,Medium Low,1.087,Low,1.0,Not Material,1.064,Low,1.154,Moderate,1.05,Low,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
521,T1135,Network Share Discovery,3.33,Medium Low,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.209,Moderate,1.05,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
522,T1569.002,Service Execution,3.33,Medium Low,1.07,Low,1.0,Not Material,1.064,Low,1.0,Not Material,1.188,Moderate,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
523,T1059.007,JavaScript,3.33,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.056,Low,1.05,Low,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
524,T1203,Exploitation for Client Execution,3.33,Medium Low,1.21,High,1.0,Not Material,1.112,Moderate,1.238,High,1.188,Moderate,1.198,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
525,T1134.001,Token Impersonation/Theft,3.12,Medium Low,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.075,Low,1.165,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
526,T1110.003,Password Spraying,3.12,Medium Low,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.238,High,1.121,Moderate,1.0,Not Material,1.067,Low,1.22,High,1.304,High,1.036,Low,1.0,Not Material
527,T1110.001,Password Guessing,3.12,Medium Low,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.238,High,1.121,Moderate,1.0,Not Material,1.067,Low,1.22,High,1.304,High,1.036,Low,1.0,Not Material
528,T1098.007,Additional Local or Domain Groups,3.12,Medium Low,1.0,Not Material,1.35,Severe,1.0,Not Material,1.084,Low,1.125,Moderate,1.198,Moderate,1.0,Not Material,1.097,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
529,T1036.010,Masquerade Account Name,3.12,Medium Low,1.087,Low,1.28,High,1.32,Severe,1.28,High,1.0,Not Material,1.121,Moderate,1.087,Low,1.097,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
530,T1555.006,Cloud Secrets Management Stores,3.12,Medium Low,1.087,Low,1.228,High,1.32,Severe,1.112,Moderate,1.05,Low,1.121,Moderate,1.137,Moderate,1.022,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
531,T1553.005,Mark-of-the-Web Bypass,3.12,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.05,Low,1.121,Moderate,1.225,High,1.105,Low,1.077,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
532,T1134.004,Parent PID Spoofing,3.12,Medium Low,1.087,Low,1.228,High,1.064,Low,1.098,Low,1.05,Low,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
533,T1110.004,Credential Stuffing,3.12,Medium Low,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.238,High,1.121,Moderate,1.0,Not Material,1.067,Low,1.22,High,1.304,High,1.036,Low,1.0,Not Material
534,T1098.003,Additional Cloud Roles,3.12,Medium Low,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.143,Moderate,1.087,Low,1.097,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
535,T1578.003,Delete Cloud Instance,3.12,Medium Low,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.0,Not Material,1.066,Low,1.0,Not Material,1.0,Not Material,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
536,T1578.002,Create Cloud Instance,3.12,Medium Low,1.087,Low,1.123,Moderate,1.32,Severe,1.056,Low,1.075,Low,1.154,Moderate,1.137,Moderate,1.0,Not Material,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
537,T1686.001,Cloud Firewall,3.12,Medium Low,1.087,Low,1.0,Not Material,1.272,High,1.0,Not Material,1.238,High,1.066,Low,1.087,Low,1.03,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
538,T1578.001,Create Snapshot,3.12,Medium Low,1.087,Low,1.123,Moderate,1.32,Severe,1.056,Low,1.075,Low,1.121,Moderate,1.225,High,1.0,Not Material,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
539,T1666,Modify Cloud Resource Hierarchy,3.12,Medium Low,1.087,Low,1.123,Moderate,1.32,Severe,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.03,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
540,T1578.005,Modify Cloud Compute Configurations,3.12,Medium Low,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.05,Low,1.121,Moderate,1.0,Not Material,1.03,Low,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
541,T1578.004,Revert Cloud Instance,3.12,Medium Low,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.0,Not Material,1.066,Low,1.137,Moderate,1.0,Not Material,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
542,T1098.006,Additional Container Cluster Roles,3.12,Medium Low,1.0,Not Material,1.35,Severe,1.272,High,1.084,Low,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.052,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
543,T1059.003,Windows Command Shell,2.78,Medium Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.22,High,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
544,T1033,System Owner/User Discovery,2.78,Medium Low,1.087,Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
545,T1106,Native API,2.78,Medium Low,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.05,Low,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
546,T1059.001,PowerShell,2.78,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
547,T1204.002,Malicious File,2.78,Medium Low,1.087,Low,1.123,Moderate,1.0,Not Material,1.098,Low,1.0,Not Material,1.165,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
548,T1047,Windows Management Instrumentation,2.78,Medium Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
549,T1012,Query Registry,2.78,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.176,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
550,T1204.001,Malicious Link,2.78,Medium Low,1.21,High,1.0,Not Material,1.0,Not Material,1.154,Moderate,1.188,Moderate,1.198,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
551,T1007,System Service Discovery,2.78,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
552,T1129,Shared Modules,2.78,Medium Low,1.07,Low,1.0,Not Material,1.064,Low,1.0,Not Material,1.188,Moderate,1.165,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
553,T1566.003,Spearphishing via Service,2.78,Medium Low,1.298,High,1.228,High,1.0,Not Material,1.238,High,1.238,High,1.176,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
554,T1559,Inter-Process Communication,2.78,Medium Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.22,High,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
555,T1195.002,Compromise Software Supply Chain,2.78,Medium Low,1.21,High,1.105,Low,1.0,Not Material,1.056,Low,1.188,Moderate,1.121,Moderate,1.175,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
556,T1615,Group Policy Discovery,2.78,Medium Low,1.07,Low,1.157,Moderate,1.112,Moderate,1.0,Not Material,1.238,High,1.176,Moderate,1.05,Low,1.105,Low,1.077,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
557,T1569.001,Launchctl,2.78,Medium Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.154,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
558,T1059.011,Lua,2.78,Medium Low,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
559,T1652,Device Driver Discovery,2.78,Medium Low,1.052,Low,1.0,Not Material,1.064,Low,1.0,Not Material,1.0,Not Material,1.209,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.112,Moderate,1.036,Low,1.0,Not Material
560,T1204.004,Malicious Copy and Paste,2.78,Medium Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.154,Moderate,1.188,Moderate,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
561,T1557.002,ARP Cache Poisoning,2.78,Medium Low,1.07,Low,1.228,High,1.0,Not Material,1.056,Low,1.238,High,1.066,Low,1.175,Moderate,1.045,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
