rank,attack_id,attack_vector,final_score,threat_grade,max_edge_case,max_edge_case_multiplier,edge_case_flags,Zero-Day / Unknown Exploit multiplier,Zero-Day / Unknown Exploit grade,Exploit Chain / Multi-Step multiplier,Exploit Chain / Multi-Step grade,Telemetry Gap / Evasion multiplier,Telemetry Gap / Evasion grade,Identity / MFA Bypass multiplier,Identity / MFA Bypass grade,Supply Chain / Trusted Dependency multiplier,Supply Chain / Trusted Dependency grade,Destructive / Ransomware multiplier,Destructive / Ransomware grade,Cloud / SaaS Tenant Blast Radius multiplier,Cloud / SaaS Tenant Blast Radius grade,Living-off-the-Land multiplier,Living-off-the-Land grade,AI-Scaled Social Engineering multiplier,AI-Scaled Social Engineering grade,Insider / Trusted Access multiplier,Insider / Trusted Access grade,Air-Gapped / ICS Safety multiplier,Air-Gapped / ICS Safety grade,Rare but High Impact multiplier,Rare but High Impact grade
455,T1553.006,Code Signing Policy Modification,6.25,Medium High,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land; Supply Chain / Trusted Dependency; Exploit Chain / Multi-Step,1.165,Moderate,1.067,Low,1.18,Moderate,1.0,Not Material,1.081,Low,1.0,Not Material,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
456,T1526,Cloud Service Discovery,6.25,Medium High,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Exploit Chain / Multi-Step,1.121,Moderate,1.067,Low,1.103,Low,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.0,Not Material
457,T1087.004,Cloud Account,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Identity / MFA Bypass; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.088,Low,1.022,Low,1.034,Low,1.1,Low,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.142,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
458,T1059.009,Cloud API,6.25,Medium High,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step,1.11,Moderate,1.067,Low,1.04,Low,1.18,Moderate,1.054,Low,1.0,Not Material,1.18,Moderate,1.15,Moderate,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.0,Not Material
459,T1036.007,Double File Extension,6.25,Medium High,Telemetry Gap / Evasion,1.149,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.149,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.054,Low,1.035,Low,1.0,Not Material,1.0,Not Material
460,T1036.002,Right-to-Left Override,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.022,Low,1.088,Low,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.054,Low,1.035,Low,1.0,Not Material,1.0,Not Material
461,T1651,Cloud Administration Command,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Living-off-the-Land; Supply Chain / Trusted Dependency,1.154,Moderate,1.049,Low,1.04,Low,1.0,Not Material,1.081,Low,1.0,Not Material,1.18,Moderate,1.12,Moderate,1.0,Not Material,1.056,Low,1.0,Not Material,1.0,Not Material
462,T1580,Cloud Infrastructure Discovery,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius,1.044,Low,1.022,Low,1.054,Low,1.04,Low,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
463,T1574.007,Path Interception by PATH Environment Variable,6.25,Medium High,Zero-Day / Unknown Exploit,1.209,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Insider / Trusted Access,1.209,Moderate,1.115,Moderate,1.124,Moderate,1.04,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.091,Low,1.0,Not Material,1.04,Low
464,T1546.010,AppInit DLLs,6.25,Medium High,Zero-Day / Unknown Exploit,1.143,Zero-Day / Unknown Exploit; Living-off-the-Land; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Identity / MFA Bypass,1.143,Moderate,1.133,Moderate,1.103,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
465,T1202,Indirect Command Execution,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit,1.088,Low,1.049,Low,1.13,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
466,T1059.012,Hypervisor CLI,6.25,Medium High,Living-off-the-Land,1.12,Living-off-the-Land; Destructive / Ransomware; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass,1.066,Low,1.022,Low,1.095,Low,1.06,Low,1.0,Not Material,1.099,Low,1.063,Low,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
467,T1055.003,Thread Execution Hijacking,6.25,Medium High,Telemetry Gap / Evasion,1.155,Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Rare but High Impact; Zero-Day / Unknown Exploit; Identity / MFA Bypass,1.088,Low,1.133,Moderate,1.155,Moderate,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.104,Low
468,T1613,Container and Resource Discovery,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.144,Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step,1.0,Not Material,1.067,Low,1.059,Low,1.0,Not Material,1.054,Low,1.0,Not Material,1.144,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
469,T1220,XSL Script Processing,6.25,Medium High,Telemetry Gap / Evasion,1.149,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.049,Low,1.149,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
470,T1218.008,Odbcconf,6.25,Medium High,Telemetry Gap / Evasion,1.13,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.049,Low,1.13,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
471,T1187,Forced Authentication,6.25,Medium High,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Destructive / Ransomware; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Insider / Trusted Access; Telemetry Gap / Evasion,1.143,Moderate,1.112,Moderate,1.086,Low,1.19,Moderate,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.038,Low,1.054,Low,1.105,Low,1.0,Not Material,1.04,Low
472,T1069.003,Cloud Groups,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Identity / MFA Bypass,1.044,Low,1.022,Low,1.054,Low,1.1,Low,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
473,T1059.008,Network Device CLI,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass,1.154,Moderate,1.022,Low,1.103,Low,1.06,Low,1.0,Not Material,1.0,Not Material,1.063,Low,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
474,T1006,Direct Volume Access,6.25,Medium High,Living-off-the-Land,1.15,Living-off-the-Land; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Destructive / Ransomware,1.088,Low,1.022,Low,1.108,Low,1.0,Not Material,1.09,Low,1.066,Low,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
475,T1689,Downgrade Attack,6.25,Medium High,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Living-off-the-Land; Destructive / Ransomware; Zero-Day / Unknown Exploit; Supply Chain / Trusted Dependency,1.088,Low,1.022,Low,1.18,Moderate,1.0,Not Material,1.081,Low,1.099,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
476,T1653,Power Settings,6.25,Medium High,Telemetry Gap / Evasion,1.103,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.103,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
477,T1574.009,Path Interception by Unquoted Path,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Living-off-the-Land; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,1.154,Moderate,1.088,Low,1.088,Low,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
478,T1574.008,Path Interception by Search Order Hijacking,6.25,Medium High,Zero-Day / Unknown Exploit,1.209,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Living-off-the-Land; Exploit Chain / Multi-Step,1.209,Moderate,1.079,Low,1.108,Low,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
479,T1548.001,Setuid and Setgid,6.25,Medium High,Living-off-the-Land,1.15,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.112,Moderate,1.054,Low,1.07,Low,1.0,Not Material,1.0,Not Material,1.063,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
480,T1546.016,Installer Packages,6.25,Medium High,Exploit Chain / Multi-Step,1.133,Exploit Chain / Multi-Step; Living-off-the-Land; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.095,Low,1.07,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
481,T1546.012,Image File Execution Options Injection,6.25,Medium High,Zero-Day / Unknown Exploit,1.143,Zero-Day / Unknown Exploit; Living-off-the-Land; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Identity / MFA Bypass,1.143,Moderate,1.133,Moderate,1.113,Moderate,1.07,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
482,T1218,System Binary Proxy Execution,6.25,Medium High,Telemetry Gap / Evasion,1.13,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.049,Low,1.13,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
483,T1055.005,Thread Local Storage,6.25,Medium High,Zero-Day / Unknown Exploit,1.143,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass,1.143,Moderate,1.133,Moderate,1.14,Moderate,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
484,T1036.006,Space after Filename,6.25,Medium High,Telemetry Gap / Evasion,1.171,Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.058,Low,1.171,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
485,T1027.008,Stripped Payloads,6.25,Medium High,Telemetry Gap / Evasion,1.146,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.022,Low,1.146,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
486,T1685.003,Modify or Spoof Tool UI,6.25,Medium High,Telemetry Gap / Evasion,1.157,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Supply Chain / Trusted Dependency,1.088,Low,1.022,Low,1.157,Moderate,1.0,Not Material,1.081,Low,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
487,T1648,Serverless Execution,6.25,Medium High,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step,1.154,Moderate,1.067,Low,1.059,Low,1.14,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.03,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
488,T1601.001,Patch System Image,6.25,Medium High,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Destructive / Ransomware; Living-off-the-Land; Air-Gapped / ICS Safety,1.044,Low,1.049,Low,1.18,Moderate,1.04,Low,1.054,Low,1.099,Low,1.0,Not Material,1.09,Low,1.0,Not Material,1.035,Low,1.07,Low,1.0,Not Material
489,T1601,Modify System Image,6.25,Medium High,Telemetry Gap / Evasion,1.176,Telemetry Gap / Evasion,1.044,Low,1.022,Low,1.176,Moderate,1.0,Not Material,1.054,Low,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
490,T1574.014,AppDomainManager,6.25,Medium High,Zero-Day / Unknown Exploit,1.209,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Living-off-the-Land,1.209,Moderate,1.043,Low,1.157,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
491,T1574.005,Executable Installer File Permissions Weakness,6.25,Medium High,Exploit Chain / Multi-Step,1.16,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency,1.154,Moderate,1.16,Moderate,1.124,Moderate,1.0,Not Material,1.117,Moderate,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
492,T1546.017,Udev Rules,6.25,Medium High,Exploit Chain / Multi-Step,1.133,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.04,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
493,T1546.007,Netsh Helper DLL,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass,1.088,Low,1.133,Moderate,1.04,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
494,T1505.001,SQL Stored Procedures,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.04,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
495,T1176.002,IDE Extensions,6.25,Medium High,Zero-Day / Unknown Exploit,1.088,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.07,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
496,T1070.010,Relocate Malware,6.25,Medium High,Telemetry Gap / Evasion,1.14,Telemetry Gap / Evasion; Living-off-the-Land,1.044,Low,1.022,Low,1.14,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.054,Low,1.035,Low,1.0,Not Material,1.0,Not Material
497,T1055.015,ListPlanting,6.25,Medium High,Telemetry Gap / Evasion,1.155,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Rare but High Impact,1.143,Moderate,1.133,Moderate,1.155,Moderate,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.064,Low
498,T1037.005,Startup Items,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.059,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
499,T1036.012,Browser Fingerprint,6.25,Medium High,Telemetry Gap / Evasion,1.14,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.14,Moderate,1.0,Not Material,1.117,Moderate,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
500,T1027.014,Polymorphic Code,6.25,Medium High,Telemetry Gap / Evasion,1.178,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.022,Low,1.178,Moderate,1.0,Not Material,1.036,Low,1.099,Low,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
501,T1601.002,Downgrade System Image,6.25,Medium High,Telemetry Gap / Evasion,1.171,Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Destructive / Ransomware,1.044,Low,1.022,Low,1.171,Moderate,1.0,Not Material,1.135,Moderate,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
502,T1600.002,Disable Crypto Hardware,6.25,Medium High,Telemetry Gap / Evasion,1.157,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.157,Moderate,1.0,Not Material,1.054,Low,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
503,T1600.001,Reduce Key Space,6.25,Medium High,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.18,Moderate,1.0,Not Material,1.054,Low,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
504,T1600,Weaken Encryption,6.25,Medium High,Telemetry Gap / Evasion,1.157,Telemetry Gap / Evasion; Insider / Trusted Access; Destructive / Ransomware; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.157,Moderate,1.08,Low,1.054,Low,1.099,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
505,T1574.011,Services Registry Permissions Weakness,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Exploit Chain / Multi-Step,1.154,Moderate,1.088,Low,1.094,Low,1.04,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
506,T1564.014,Extended Attributes,6.25,Medium High,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Living-off-the-Land,1.044,Low,1.022,Low,1.18,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
507,T1546.018,Python Startup Hooks,6.25,Medium High,Exploit Chain / Multi-Step,1.133,Exploit Chain / Multi-Step; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.07,Low,1.07,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
508,T1546.006,LC_LOAD_DYLIB Addition,6.25,Medium High,Exploit Chain / Multi-Step,1.133,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.054,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.03,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
509,T1546.005,Trap,6.25,Medium High,Living-off-the-Land,1.135,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.054,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
510,T1542.005,TFTP Boot,6.25,Medium High,Living-off-the-Land,1.12,Living-off-the-Land; Telemetry Gap / Evasion; Insider / Trusted Access; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Identity / MFA Bypass; Air-Gapped / ICS Safety,1.088,Low,1.088,Low,1.094,Low,1.07,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.091,Low,1.07,Low,1.0,Not Material
511,T1542.004,ROMMONkit,6.25,Medium High,Supply Chain / Trusted Dependency,1.171,Supply Chain / Trusted Dependency; Telemetry Gap / Evasion; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Air-Gapped / ICS Safety,1.088,Low,1.088,Low,1.094,Low,1.07,Low,1.171,Moderate,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.091,Low,1.07,Low,1.0,Not Material
512,T1216.002,SyncAppvPublishingServer,6.25,Medium High,Living-off-the-Land,1.15,Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit,1.088,Low,1.049,Low,1.124,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
513,T1127.003,JamPlus,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Living-off-the-Land; Exploit Chain / Multi-Step,1.154,Moderate,1.07,Low,1.124,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
514,T1127.002,ClickOnce,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Supply Chain / Trusted Dependency,1.154,Moderate,1.115,Moderate,1.144,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
515,T1055.014,VDSO Hijacking,6.25,Medium High,Telemetry Gap / Evasion,1.14,Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass,1.088,Low,1.133,Moderate,1.14,Moderate,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
516,T1055.009,Proc Memory,6.25,Medium High,Telemetry Gap / Evasion,1.144,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Supply Chain / Trusted Dependency; Identity / MFA Bypass,1.143,Moderate,1.133,Moderate,1.144,Moderate,1.07,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
517,T1053.006,Systemd Timers,6.25,Medium High,Zero-Day / Unknown Exploit,1.154,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access,1.154,Moderate,1.153,Moderate,1.04,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
518,T1037.002,Login Hook,6.25,Medium High,Exploit Chain / Multi-Step,1.133,Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.059,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
519,T1566.001,Spearphishing Attachment,6.0,Medium High,Zero-Day / Unknown Exploit,1.22,Zero-Day / Unknown Exploit; Identity / MFA Bypass; AI-Scaled Social Engineering; Insider / Trusted Access,1.22,High,1.022,Low,1.025,Low,1.15,Moderate,1.036,Low,1.0,Not Material,1.036,Low,1.052,Low,1.09,Low,1.07,Low,1.0,Not Material,1.04,Low
520,T1059.005,Visual Basic,6.0,Medium High,Zero-Day / Unknown Exploit,1.187,Zero-Day / Unknown Exploit; Living-off-the-Land,1.187,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.0,Not Material,1.036,Low,1.12,Moderate,1.054,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
