rank,attack_id,attack_vector,is_subtechnique,parent_id,domains,platforms,tactics,severity_label,groups_count,software_count,total_usage,impact_score,asset_criticality,asset_criticality_reason,exploit_likelihood,exploit_likelihood_reason,detection_confidence,confident_score,bft_vote_proxy,raw_product_score,score_0_10,max_surface,max_surface_multiplier,surface_multiplier_grade,max_edge_case,max_edge_case_multiplier,edge_case_multiplier_grade,edge_case_flags,final_score,threat_grade,recommended_action,auto_containment_allowed,primary_surfaces,related_capec_count,related_capec_ids,related_cwe_count,related_cwe_ids,data_sources,mitigation_ids,mitigations,description
491,T1574.005,Executable Installer File Permissions Weakness,True,T1574,enterprise,Windows,Stealth; Execution,Low,1,0,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.198,Moderate,Exploit Chain / Multi-Step,1.16,Moderate,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Data / Storage; Endpoint / User; Network / Perimeter; Identity / IAM,2,CAPEC-17; CAPEC-642,7,CWE-270; CWE-272; CWE-282; CWE-285; CWE-59; CWE-693; CWE-732,File; Process; Module,M1047; M1052; M1018,Audit; User Account Control; User Account Management,"Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer. These processes may automatically execute specific binaries as part of their functionality or to perform other actions. If the permissions on the file system directory containing a target binary, or permissions on the binary itself, are improperly set, then the target binary may be overwritten with another binary using user-level permissions and executed by the original process. If the original..."
492,T1546.017,Udev Rules,True,T1546,enterprise,Linux,Persistence; Privilege Escalation,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Exploit Chain / Multi-Step,1.133,Moderate,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Data / Storage; Identity / IAM,0,,0,,Command; Process; File,,,"Adversaries may maintain persistence through executing malicious content triggered using udev rules. Udev is the Linux kernel device manager that dynamically manages device nodes, handles access to pseudo-device files in the `/dev` directory, and responds to hardware events, such as when external devices like hard drives or keyboards are plugged in or removed. Udev uses rule files with `match keys` to specify the conditions a hardware event must meet and `action keys` to define the actions that..."
493,T1546.007,Netsh Helper DLL,True,T1546,enterprise,Windows,Privilege Escalation; Persistence,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Living-off-the-Land,1.135,Moderate,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Identity / IAM,0,,0,,Process; Windows Registry; Module,,,Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs. Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at <code>HKLM\SOFTWARE\Microsoft\Netsh</code>. Adversaries can use netsh.exe helper DLL...
494,T1505.001,SQL Stored Procedures,True,T1505,enterprise,Windows; Linux,Persistence,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Living-off-the-Land,1.135,Moderate,Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Data / Storage; Identity / IAM,0,,0,,Process; Script; Module,M1047; M1045; M1026,Audit; Code Signing; Privileged Account Management,Adversaries may abuse SQL stored procedures to establish persistent access to systems. SQL Stored Procedures are code that can be saved and reused so that database users do not waste time rewriting frequently used SQL queries. Stored procedures can be invoked via SQL statements to the database using the procedure name or via defined events (e.g. when a SQL server application is started/restarted). Adversaries may craft malicious stored procedures that can provide a persistence mechanism in SQL...
495,T1176.002,IDE Extensions,True,T1176,enterprise,Linux; macOS; Windows,Persistence,Low,1,0,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.238,High,Zero-Day / Unknown Exploit,1.088,Low,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Data / Storage; Endpoint / User; Identity / IAM,0,,0,,Process; File; Network Traffic,M1038; M1051; M1047; M1033; M1017,Execution Prevention; Update Software; Audit; Limit Software Installation; User Training,"Adversaries may abuse an integrated development environment (IDE) extension to establish persistent access to victim systems. IDEs such as Visual Studio Code, IntelliJ IDEA, and Eclipse support extensions - software components that add features like code linting, auto-completion, task automation, or integration with tools like Git and Docker. A malicious extension can be installed through an extension marketplace (i.e., Compromise Software Dependencies and Development Tools) or side-loaded dire..."
496,T1070.010,Relocate Malware,True,T1070,enterprise,Linux; macOS; Network Devices; Windows,Stealth,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.209,Moderate,Telemetry Gap / Evasion,1.14,Moderate,Telemetry Gap / Evasion; Living-off-the-Land,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Network / Perimeter; Public Internet / Edge; Endpoint / User,0,,0,,Command; File,,,"Once a payload is delivered, adversaries may reproduce copies of the same malware on the victim system to remove evidence of their presence and/or avoid defenses. Copying malware payloads to new locations may also be combined with File Deletion to cleanup older artifacts. Relocating malware may be a part of many actions intended to evade defenses. For example, adversaries may copy and rename payloads to better blend into the local environment (i.e., Match Legitimate Resource Name or Location)...."
497,T1055.015,ListPlanting,True,T1055,enterprise,Windows,Stealth; Privilege Escalation,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.165,Moderate,Telemetry Gap / Evasion,1.155,Moderate,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Rare but High Impact,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Identity / IAM,0,,0,,Process,M1040,Behavior Prevention on Endpoint,Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. ListPlanting is a method of executing arbitrary code in the address space of a separate live process. Code executed via ListPlanting may also evade detection from security products since the execution is masked under a legitimate process. List-view controls are user interface windows used to display collections of items. Infor...
498,T1037.005,Startup Items,True,T1037,enterprise,macOS,Persistence; Privilege Escalation,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.187,Moderate,Living-off-the-Land,1.135,Moderate,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Data / Storage; Identity / IAM,0,,0,,Process; File,M1022,Restrict File and Directory Permissions,"Adversaries may use startup items automatically executed at boot initialization to establish persistence. Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items. This is technically a deprecated technology (superseded by Launch Daemon), and thus the appropriate folder, <code>/Library/StartupItems</code> isn’t guaranteed to e..."
499,T1036.012,Browser Fingerprint,True,T1036,enterprise,Linux; macOS; Windows,Stealth,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Telemetry Gap / Evasion,1.14,Moderate,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Public Internet / Edge; Endpoint / User,0,,0,,Network Traffic; Process,M1047,Audit,"Adversaries may attempt to blend in with legitimate traffic by spoofing browser and system attributes like operating system, system language, platform, user-agent string, resolution, time zone, etc. The HTTP User-Agent request header is a string that lets servers and network peers identify the application, operating system, vendor, and/or version of the requesting user agent. Adversaries may gather this information through System Information Discovery or by users navigating to adversary-control..."
500,T1027.014,Polymorphic Code,True,T1027,enterprise,Linux; macOS; Windows,Stealth,Low,0,1,1,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.176,Moderate,Telemetry Gap / Evasion,1.178,Moderate,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit; Living-off-the-Land,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Data / Storage; Endpoint / User,0,,0,,Process; File; Module,M1040; M1049,Behavior Prevention on Endpoint; Antivirus/Antimalware,"Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection. Polymorphic code is a type of software capable of changing its runtime footprint during code execution. With each execution of the software, the code is mutated into a different version of itself that achieves the same purpose or objective as the original. This functionality enables the malware to evade traditional signature-based defenses, such as antivirus and antimalware tools. Other obf..."
501,T1601.002,Downgrade System Image,True,T1601,enterprise,Network Devices,Defense Impairment,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Telemetry Gap / Evasion,1.171,Moderate,Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Destructive / Ransomware,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Data / Storage,0,,0,,Command; File,M1032; M1045; M1043; M1026; M1027; M1046,Multi-factor Authentication; Code Signing; Credential Access Protection; Privileged Account Management; Password Policies; Boot Integrity,"Adversaries may install an older version of the operating system of a network device to weaken security. Older operating system versions on network devices often have weaker encryption ciphers and, in general, fewer/less updated defensive features. On embedded devices, downgrading the version typically only requires replacing the operating system file in storage. With most embedded devices, this can be achieved by downloading a copy of the desired version of the operating system file and reconf..."
502,T1600.002,Disable Crypto Hardware,True,T1600,enterprise,Network Devices,Defense Impairment,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Telemetry Gap / Evasion,1.157,Moderate,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Data / Storage; Public Internet / Edge,0,,0,,Command; Network Traffic; File,,,"Adversaries disable a network device’s dedicated hardware encryption, which may enable them to leverage weaknesses in software encryption in order to reduce the effort involved in collecting, manipulating, and exfiltrating transmitted data. Many network devices such as routers, switches, and firewalls, perform encryption on network traffic to secure transmission across networks. Often, these devices are equipped with special, dedicated encryption hardware to greatly increase the speed of the en..."
503,T1600.001,Reduce Key Space,True,T1600,enterprise,Network Devices,Defense Impairment,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Telemetry Gap / Evasion,1.18,Moderate,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Data / Storage; Public Internet / Edge,0,,0,,Command; Network Traffic; File,,,"Adversaries may reduce the level of effort required to decrypt data transmitted over the network by reducing the cipher strength of encrypted communications. Adversaries can weaken the encryption software on a compromised network device by reducing the key size used by the software to convert plaintext to ciphertext (e.g., from hundreds or thousands of bytes to just a couple of bytes). As a result, adversaries dramatically reduce the amount of effort needed to decrypt the protected information..."
504,T1600,Weaken Encryption,False,,enterprise,Network Devices,Defense Impairment,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Telemetry Gap / Evasion,1.157,Moderate,Telemetry Gap / Evasion; Insider / Trusted Access; Destructive / Ransomware; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Data / Storage; Public Internet / Edge; Identity / IAM; Server / Workload,1,CAPEC-620,1,CWE-757,Network Traffic; File; Module,,,Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications. Encryption can be used to protect transmitted network traffic to maintain its confidentiality (protect against unauthorized disclosure) and integrity (protect against unauthorized changes). Encryption ciphers are used to convert a plaintext message to ciphertext and can be computationally intensive to decipher without the associated decryption key....
505,T1574.011,Services Registry Permissions Weakness,True,T1574,enterprise,Windows,Stealth; Execution,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Zero-Day / Unknown Exploit,1.154,Moderate,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Exploit Chain / Multi-Step,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Identity / IAM; Endpoint / User; Network / Perimeter,1,CAPEC-478,1,CWE-284,Process; Windows Registry; Service,M1024,Restrict Registry Permissions,"Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Flaws in the permissions for Registry keys related to services can allow adversaries to redirect the originally specified executable to one they control, launching their own code when a service starts. Windows stores local service configuration information in the Registry under <code>HKLM\SYSTEM\CurrentControlSet\Services</code>. The information stored under a service's Registry keys can be..."
506,T1564.014,Extended Attributes,True,T1564,enterprise,Linux; macOS,Stealth,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.176,Moderate,Telemetry Gap / Evasion,1.18,Moderate,Telemetry Gap / Evasion; Living-off-the-Land,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Data / Storage; Endpoint / User,0,,0,,Command; File,M1040,Behavior Prevention on Endpoint,"Adversaries may abuse extended attributes (xattrs) on macOS and Linux to hide their malicious data in order to evade detection. Extended attributes are key-value pairs of file and directory metadata used by both macOS and Linux. They are not visible through standard tools like `Finder`, `ls`, or `cat` and require utilities such as `xattr` (macOS) or `getfattr` (Linux) for inspection. Operating systems and applications use xattrs for tagging, integrity checks, and access control. On Linux, xattr..."
507,T1546.018,Python Startup Hooks,True,T1546,enterprise,Linux; macOS; Windows,Persistence; Privilege Escalation,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.238,High,Exploit Chain / Multi-Step,1.133,Moderate,Exploit Chain / Multi-Step; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Endpoint / User; Data / Storage; Identity / IAM,0,,0,,Process; File; Network Traffic,,,"Adversaries may achieve persistence by leveraging Python’s startup mechanisms, including path configuration (`.pth`) files and the `sitecustomize.py` or `usercustomize.py` modules. These files are automatically processed during the initialization of the Python interpreter, allowing for the execution of arbitrary code whenever Python is invoked. Path configuration files are designed to extend Python’s module search paths through the use of import statements. If a `.pth` file is placed in Python'..."
508,T1546.006,LC_LOAD_DYLIB Addition,True,T1546,enterprise,macOS,Privilege Escalation; Persistence,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.187,Moderate,Exploit Chain / Multi-Step,1.133,Moderate,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Identity / IAM,0,,0,,File; Module,M1047; M1038; M1045,Audit; Execution Prevention; Code Signing,Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded. The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time. These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies. There are tools av...
509,T1546.005,Trap,True,T1546,enterprise,macOS; Linux,Privilege Escalation; Persistence,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Living-off-the-Land,1.135,Moderate,Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Identity / IAM,0,,0,,Process; File,,,Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The <code>trap</code> command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like <code>ctrl+c</code> and <code>ctrl+d</code>. Adversaries can use this to register code to be executed when the shell encounters specific interrupts as...
510,T1542.005,TFTP Boot,True,T1542,enterprise,Network Devices,Stealth; Persistence,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.238,High,Living-off-the-Land,1.12,Moderate,Living-off-the-Land; Telemetry Gap / Evasion; Insider / Trusted Access; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Identity / MFA Bypass; Air-Gapped / ICS Safety,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Server / Workload; Public Internet / Edge; Identity / IAM,0,,0,,Command; Firmware; Network Traffic,M1031; M1028; M1026; M1035; M1047; M1046,Network Intrusion Prevention; Operating System Configuration; Privileged Account Management; Limit Access to Resource Over Network; Audit; Boot Integrity,"Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server. TFTP boot (netbooting) is commonly used by network administrators to load configuration-controlled network device images from a centralized management server. Netbooting is one option in the boot sequence and can be used to centralize, manage, and control device images. Adversaries may manipulate the configuration on the network device specifying use of a..."
511,T1542.004,ROMMONkit,True,T1542,enterprise,Network Devices,Stealth; Persistence,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.198,Moderate,Supply Chain / Trusted Dependency,1.171,Moderate,Supply Chain / Trusted Dependency; Telemetry Gap / Evasion; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Air-Gapped / ICS Safety,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Network / Perimeter; Public Internet / Edge; Identity / IAM,0,,0,,Firmware; Network Traffic; Process,M1046; M1047; M1031,Boot Integrity; Audit; Network Intrusion Prevention,"Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect. ROMMON is a Cisco network device firmware that functions as a boot loader, boot image, or boot helper to initialize hardware and software when the platform is powered on or reset. Similar to TFTP Boot, an adversary may upgrade the ROMMON image locally or remotely (for example, through TFTP) with adversary..."
512,T1216.002,SyncAppvPublishingServer,True,T1216,enterprise,Windows,Stealth,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.176,Moderate,Living-off-the-Land,1.15,Moderate,Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; ESXi / Hypervisor,0,,0,,Command; Process; Module,M1038,Execution Prevention,"Adversaries may abuse SyncAppvPublishingServer.vbs to proxy execution of malicious PowerShell commands. SyncAppvPublishingServer.vbs is a Visual Basic script associated with how Windows virtualizes applications (Microsoft Application Virtualization, or App-V). For example, Windows may render Win32 applications to users as virtual applications, allowing users to launch and interact with them as if they were installed locally. The SyncAppvPublishingServer.vbs script is legitimate, may be signed b..."
513,T1127.003,JamPlus,True,T1127,enterprise,Windows,Stealth; Execution,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Network / Perimeter,1.188,Moderate,Zero-Day / Unknown Exploit,1.154,Moderate,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Living-off-the-Land; Exploit Chain / Multi-Step,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Network / Perimeter; Data / Storage; Server / Workload; Endpoint / User,0,,0,,Process; File; Network Traffic,M1038; M1042,Execution Prevention; Disable or Remove Feature or Program,"Adversaries may use `JamPlus` to proxy the execution of a malicious script. `JamPlus` is a build utility tool for code and data build systems. It works with several popular compilers and can be used for generating workspaces in code editors such as Visual Studio. Adversaries may abuse the `JamPlus` build utility to execute malicious scripts via a `.jam` file, which describes the build process and required dependencies. Because the malicious script is executed from a reputable developer tool, it..."
514,T1127.002,ClickOnce,True,T1127,enterprise,Windows,Stealth; Execution,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Zero-Day / Unknown Exploit,1.154,Moderate,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Supply Chain / Trusted Dependency,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User,0,,0,,Process; Module,M1042; M1021; M1045,Disable or Remove Feature or Program; Restrict Web-Based Content; Code Signing,"Adversaries may use ClickOnce applications (.appref-ms and .application files) to proxy execution of code through a trusted Windows utility. ClickOnce is a deployment that enables a user to create self-updating Windows-based .NET applications (i.e, .XBAP, .EXE, or .DLL) that install and run from a file share or web page with minimal user interaction. The application launches as a child process of DFSVC.EXE, which is responsible for installing, launching, and updating the application. Because Cl..."
515,T1055.014,VDSO Hijacking,True,T1055,enterprise,Linux,Stealth; Privilege Escalation,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.165,Moderate,Telemetry Gap / Evasion,1.14,Moderate,Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Endpoint / User; Identity / IAM,0,,0,,Process; Module,M1040,Behavior Prevention on Endpoint,"Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of executing arbitrary code in the address space of a separate live process. VDSO hijacking involves redirecting calls to dynamically linked shared libraries. Memory protections may prevent writing executable code to a process via Ptrace System Calls. However, an adversary may hijack th..."
516,T1055.009,Proc Memory,True,T1055,enterprise,Linux,Stealth; Privilege Escalation,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.165,Moderate,Telemetry Gap / Evasion,1.144,Moderate,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Supply Chain / Trusted Dependency; Identity / MFA Bypass,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Data / Storage; Endpoint / User; Identity / IAM,0,,0,,File; Process,M1040; M1022,Behavior Prevention on Endpoint; Restrict File and Directory Permissions,Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges. Proc memory injection is a method of executing arbitrary code in the address space of a separate live process. Proc memory injection involves enumerating the memory of a process via the /proc filesystem (<code>/proc/[pid]</code>) then crafting a return-oriented programming (ROP) payload with available gadgets/instructions. Each running pr...
517,T1053.006,Systemd Timers,True,T1053,enterprise,Linux,Execution; Persistence; Privilege Escalation,Low,0,0,0,3,2,important exposed service proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,7.5,6.25,Server / Workload,1.22,High,Zero-Day / Unknown Exploit,1.154,Moderate,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access,6.25,Medium High,Auto-intercept / quarantine via pre-approved playbook,True,Server / Workload; Data / Storage; Endpoint / User; Identity / IAM,0,,0,,Process; File; Scheduled Job,M1022; M1018; M1026,Restrict File and Directory Permissions; User Account Management; Privileged Account Management,"Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code. Systemd timers are unit files with file extension <code>.timer</code> that control services. Timers can be set to run on a calendar event or after a time span relative to a starting point. They can be used as an alternative to Cron in Linux environments. Systemd timers may be activated remotely via the <code>systemctl</code> command line utility, which operates over SSH. Each <c..."
